School_ID,State,Year,Subject,ISBN
8,VIC,6,ENGLISH,9781741250930
9,NSW,6,ENGLISH,9780765385567
9,NSW,6,ENGLISH,9780425287774
9,NSW,6,ENGLISH,9781925487343
9,NSW,6,ENGLISH,9780190312602
9,NSW,6,ENGLISH,9780307279187
9,NSW,6,MATHEMATICS,9780190322847
9,NSW,6,ENGLISH,9780648237341
10,VIC,6,ENGLISH,9780190323226
10,VIC,6,MATHEMATICS,9781741351811
10,VIC,6,MUSIC,9781876772536
10,VIC,6,ENGLISH,9781922116765
10,VIC,6,MATHEMATICS,9781920962395
10,VIC,6,MATHEMATICS,9781741351811
10,VIC,6,ENGLISH,9781741351613
6,VIC,6,ENGLISH,9780192732637
6,VIC,6,ENGLISH,9781741753349
6,VIC,6,ENGLISH,9781741351613
6,VIC,6,ENGLISH,9780725334659
6,VIC,6,SCIENCE,9780078024290
6,VIC,6,ENGLISH,9780725334659
6,VIC,6,ENGLISH,9781921454028
6,VIC,6,ENGLISH,9780143304852
6,VIC,6,MATHEMATICS,9781108772631
6,VIC,6,ENGLISH,9781741353501
6,VIC,6,ENGLISH,9781925487459
6,VIC,6,ENGLISH,9780198611868
6,VIC,6,MATHEMATICS,9781741351811
6,VIC,6,ENGLISH,9780143304852
6,VIC,6,SCIENCE,9780190310783
6,VIC,6,SCIENCE,9780190310783
6,VIC,6,ENGLISH,9781925487459
11,QLD,6,ENGLISH,9781741353419
11,QLD,6,ENGLISH,9780141316253
11,QLD,6,ENGLISH,9781741351613
13,NT,6,MATHEMATICS,9781741351811
15,NSW,6,ENGLISH,9780732285432
15,NSW,6,MATHEMATICS,9781741351811
15,NSW,6,ENGLISH,9780648103066
15,NSW,6,MATHEMATICS,9781741351811
16,NSW,6,LANGUAGES,9781876028572
16,NSW,6,LANGUAGES,9781876028589
16,NSW,6,ENGLISH,9780147516015
16,NSW,6,ENGLISH,9780732290221
16,NSW,6,MATHEMATICS,9780190322847
16,NSW,6,MATHEMATICS,9781486009831
16,NSW,6,LANGUAGES,9789620435959
16,NSW,6,HISTORY,9780190310783
17,QLD,6,MATHEMATICS,9781920962395
26,QLD,6,MATHEMATICS,9781741353419
26,QLD,6,MATHEMATICS,9781741351811
30,SA,6,MATHEMATICS,9781925487268
30,SA,6,RELIGIOUS EDUCATION,9780061441714
30,SA,6,ENGLISH,9780190303488
33,NSW,6,MATHEMATICS,9781741353419
33,NSW,6,ENGLISH,9781925487343
33,NSW,6,MATHEMATICS,9780733965883
33,NSW,6,MATHEMATICS,9780195508697
35,NSW,6,MATHEMATICS,9781488621314
35,NSW,6,MATHEMATICS,9781488621321
37,NT,6,ENGLISH,9780190323226
37,NT,6,ENGLISH,9781743305799
37,NT,6,ENGLISH,9780076044863
37,NT,6,MATHEMATICS,9780980790535
37,NT,6,ENGLISH,9781743305591
2,VIC,7,LANGUAGES,9780804845588
2,VIC,7,LANGUAGES,9781692746056
2,VIC,7,SCIENCE,9781488615054
2,VIC,7,RELIGIOUS EDUCATION,9781107056060
2,VIC,7,LANGUAGES,9781876209902
2,VIC,7,ENGLISH,9780517588376
2,VIC,7,ENGLISH,9781458650412
2,VIC,7,ENGLISH,9781558332881
2,VIC,7,COMPUTER SCIENCE,9789814779098
2,VIC,7,ENGLISH,9780190319342
2,VIC,7,ENGLISH,9780782723441
2,VIC,7,HUMANITIES,9780730372837
2,VIC,7,LANGUAGES,9780190303488
3,VIC,7,ENGLISH,9781743314838
3,VIC,7,ENGLISH,9781411479876
